Размер	HeapSort	BubbleSort
100	0.000009	0.000023
200	0.000019	0.000081
300	0.000030	0.000217
400	0.000041	0.000304
500	0.000052	0.000502
600	0.000064	0.000670
700	0.000076	0.000967
800	0.000090	0.001249
900	0.000103	0.001470
1000	0.000114	0.001849
1100	0.000126	0.002229
1200	0.000140	0.002604
1300	0.000187	0.003089
1400	0.000162	0.003500
1500	0.000221	0.004002
1600	0.000185	0.004556
1700	0.000241	0.005140
1800	0.000230	0.005783
1900	0.000227	0.006345
2000	0.000280	0.007311
2100	0.000254	0.007888
2200	0.000297	0.008544
2300	0.000282	0.009410
2400	0.000296	0.010264
2500	0.000322	0.011182
2600	0.000321	0.012064
2700	0.000368	0.013177
2800	0.000350	0.017228
2900	0.000509	0.016901
3000	0.000407	0.016459
3100	0.000391	0.017552
3200	0.000436	0.018360
3300	0.000423	0.019848
3400	0.000520	0.021584
3500	0.000479	0.022823
3600	0.000463	0.024755
3700	0.000491	0.025784
3800	0.000524	0.027391
3900	0.000537	0.029119
4000	0.000549	0.031551
4100	0.000570	0.032487
4200	0.000571	0.033777
4300	0.000561	0.035433
4400	0.000633	0.037855
4500	0.000620	0.039415
4600	0.000665	0.041731
4700	0.000678	0.043532
4800	0.000666	0.045779
4900	0.000677	0.047389
5000	0.000729	0.049301
5100	0.000811	0.051512
5200	0.000726	0.054326
5300	0.000764	0.056530
5400	0.000753	0.058216
5500	0.000773	0.060090
5600	0.000810	0.063164
5700	0.000803	0.066369
5800	0.000816	0.068213
5900	0.000803	0.070952
6000	0.000847	0.072643
6100	0.000833	0.075752
6200	0.000896	0.079418
6300	0.000861	0.083589
6400	0.000906	0.085218
6500	0.000889	0.088719
6600	0.000962	0.092943
6700	0.000976	0.095396
6800	0.000963	0.099013
6900	0.000981	0.101309
7000	0.000969	0.111590
7100	0.001044	0.108590
7200	0.001029	0.111042
7300	0.001017	0.114292
7400	0.001059	0.117030
7500	0.001114	0.120924
7600	0.001092	0.124786
7700	0.001166	0.129302
7800	0.001125	0.132554
7900	0.001181	0.137189
8000	0.001193	0.139191
8100	0.001162	0.144076
8200	0.001191	0.148145
8300	0.001199	0.150354
8400	0.001188	0.154722
8500	0.001200	0.160256
8600	0.001278	0.165442
8700	0.001304	0.168133
8800	0.001332	0.169916
8900	0.001263	0.177549
9000	0.001279	0.182270
9100	0.001309	0.184503
9200	0.001427	0.190772
9300	0.001384	0.193364
9400	0.001373	0.200352
9500	0.001388	0.200117
9600	0.001427	0.207687
9700	0.001434	0.216806
9800	0.001441	0.219859
9900	0.001500	0.222910
10000	0.001466	0.227688
10100	0.001542	0.231889
10200	0.001523	0.239196
10300	0.001539	0.239539
10400	0.001576	0.245261
10500	0.001546	0.253376
10600	0.001604	0.259276
10700	0.001608	0.261613
10800	0.001649	0.268379
10900	0.001641	0.272812
11000	0.001679	0.281337
11100	0.001663	0.287166
11200	0.001713	0.294967
11300	0.001786	0.298705
11400	0.001720	0.305646
11500	0.001735	0.308955
11600	0.001724	0.311890
11700	0.001796	0.318437
11800	0.001757	0.324587
11900	0.001801	0.331907
12000	0.001818	0.337580
12100	0.001804	0.344254
12200	0.001937	0.349258
12300	0.001863	0.355084
12400	0.001912	0.364872
12500	0.001898	0.365798
12600	0.001929	0.371335
12700	0.001959	0.376863
12800	0.001947	0.387057
12900	0.002023	0.392470
13000	0.001975	0.404877
13100	0.002009	0.413677
13200	0.002061	0.423535
13300	0.002017	0.421716
13400	0.002108	0.427777
13500	0.002114	0.432448
13600	0.002086	0.440409
13700	0.002096	0.448557
13800	0.002221	0.455927
13900	0.002217	0.473386
14000	0.002175	0.466073
14100	0.002188	0.474319
14200	0.002201	0.483546
14300	0.002257	0.488139
14400	0.002208	0.502161
14500	0.002253	0.503147
14600	0.002280	0.512492
14700	0.002315	0.519836
14800	0.002308	0.542095
14900	0.002274	0.532768
15000	0.002324	0.544370
15100	0.002355	0.552166
15200	0.002390	0.562259
15300	0.002423	0.560421
15400	0.002353	0.569244
15500	0.002481	0.576097
15600	0.002391	0.587705
15700	0.002436	0.599397
15800	0.002436	0.598167
15900	0.002472	0.617226
16000	0.002509	0.625259
16100	0.002500	0.636387
16200	0.002538	0.638882
16300	0.002562	0.648106
16400	0.002576	0.649413
16500	0.002624	0.661798
16600	0.002612	0.676512
16700	0.002656	0.683935
16800	0.002739	0.688098
16900	0.002691	0.701448
17000	0.002639	0.708815
17100	0.002707	0.721854
17200	0.002860	0.728932
17300	0.003380	0.729408
17400	0.002808	0.741294
17500	0.002784	0.753257
17600	0.002830	0.758063
17700	0.002843	0.768108
17800	0.002871	0.774427
17900	0.002876	0.790467
18000	0.002868	0.797558
18100	0.002843	0.815300
18200	0.002957	0.818170
18300	0.002870	0.822909
18400	0.003013	0.839019
18500	0.002982	0.846398
18600	0.003270	0.852723
18700	0.003019	0.862182
18800	0.003012	0.868253
18900	0.003055	0.875290
19000	0.003020	0.912790
19100	0.003060	0.895711
19200	0.003106	0.915059
19300	0.003080	0.917200
19400	0.003141	0.926438
19500	0.003100	0.932715
19600	0.003213	0.952572
19700	0.003159	0.965678
19800	0.003143	0.978557
19900	0.003279	0.983722
20000	0.003186	0.990100
20100	0.003164	0.996206
20200	0.003247	1.013909
20300	0.003333	1.024598
20400	0.003251	1.037647
20500	0.003377	1.048504
20600	0.003340	1.062421
20700	0.003296	1.059033
20800	0.003369	1.084825
20900	0.003387	1.091309
21000	0.003431	1.097540
21100	0.003440	1.103259
21200	0.003438	1.131093
21300	0.003469	1.127192
21400	0.003455	1.135376
21500	0.003532	1.150966
21600	0.003607	1.165304
21700	0.003462	1.162875
21800	0.003631	1.188135
21900	0.003615	1.205460
22000	0.003641	1.208332
22100	0.003613	1.217061
22200	0.003660	1.234957
22300	0.003587	1.244941
22400	0.003659	1.251207
22500	0.003660	1.268765
22600	0.003582	1.274811
22700	0.003768	1.282259
22800	0.003665	1.300887
22900	0.003800	1.315992
23000	0.003793	1.333730
23100	0.003649	1.330561
23200	0.003788	1.344829
23300	0.003802	1.357265
23400	0.003862	1.369774
23500	0.003788	1.388105
23600	0.003899	1.404149
23700	0.003825	1.421238
23800	0.003903	1.433750
23900	0.003975	1.443797
24000	0.003849	1.457298
24100	0.003991	1.465510
24200	0.003889	1.499358
24300	0.003964	1.491597
24400	0.004044	1.510417
24500	0.004025	1.525624
24600	0.004058	1.527295
24700	0.004092	1.547903
24800	0.004107	1.550122
24900	0.004125	1.572852
25000	0.004107	1.586071
25100	0.004131	1.590160
25200	0.004140	1.595041
25300	0.004195	1.601285
25400	0.004133	1.634968
25500	0.004233	1.654775
25600	0.004220	1.661421
25700	0.004318	1.668948
25800	0.004197	1.692695
25900	0.004356	1.696190
26000	0.004304	1.731135
26100	0.004477	1.724646
26200	0.004380	1.744287
26300	0.004341	1.759771
26400	0.004296	1.754533
26500	0.004424	1.784596
26600	0.004310	1.786422
26700	0.004331	1.806519
26800	0.004425	1.820948
26900	0.004462	1.825659
27000	0.004543	1.854202
27100	0.004575	1.869527
27200	0.004492	1.882805
27300	0.004397	1.887345
27400	0.004546	1.897950
27500	0.004622	1.916847
27600	0.004616	1.945653
27700	0.004586	1.969284
27800	0.004709	1.964502
27900	0.004712	1.971876
28000	0.004560	1.988166
28100	0.004654	2.009385
28200	0.004612	2.028665
28300	0.004633	2.036795
28400	0.004753	2.057673
28500	0.004704	2.056635
28600	0.004803	2.081902
28700	0.004848	2.096211
28800	0.004757	2.129832
28900	0.004801	2.138809
29000	0.004850	2.139987
29100	0.004908	2.158955
29200	0.004947	2.180968
29300	0.004920	2.204331
29400	0.004928	2.217774
29500	0.004932	2.225332
29600	0.004983	2.223309
29700	0.004974	2.230766
29800	0.005092	2.253817
29900	0.005042	2.262048
30000	0.004954	2.281431
